Opinion,Labels,,,,,,,,,,,,,,,,,,,,,,
"Cu?i tu?n ace UTC làm gì nh???..?? -T? t?p 
Dân ch?i bi?t ngay món j ??
P/s: s?n sàng ph?c v? ????",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Góc tìm ??ng chí tr? cùng 
  - T là nam ?ang k? 2 n?m 3 ngành v?n t?i ?a ph??ng th?c k61 mu?n tìm ??ng chí tr? cùng ngay t? 22/4 ho?c tháng 5 t?i. 
  - Có chút yêu c?u nh?: sinh ho?t g?n gàng, t? giác d?n d?p v? sinh khi th?y b?a b?n, có khúc m?c c?n trao ??i th?ng th?n, sòng ph?ng ti?n nong, s?ng hòa thu?n v?i nhau. 
  - Phòng tr? (chung ch?): 
+ Phòng ? t?ng 4 r?ng 16 m2 ch?a tính nhà v? sinh, nhà 91A ngõ 1194 ???ng Láng. Không c?n b?t t?c bi?n v?n ??n tr??ng ch? sau 10’. T?ng 1 ,2 là nhà bác ch? ?. Bác ch? r?t hi?n và chu ?áo.
+ Giá phòng 2tr5, ?i?n 3k5/ 1 s?, 25k/ 1 kh?i, v? sinh 20k/ 1 ng??i 1 tháng, 100k/ 1 xe máy 1 tháng. Tính ra n?u dùng nhi?u l?m thì ch? ??n 1tr6 tr7/ 1 tháng 1 ng??i.
+ Th?i gian khóa c?ng trong c?a khu nhà là 23h. n?u v? mu?n thì ph?i báo tr??c bác ch?. 
+ ?? ??c trong phòng h?u nh? ?ã ??y ??. Có c? máy gi?t và qu?t h?i n??c cho b?n t?n h??ng mùa ?ông gi?a mùa hè. Có ?i?u thi?u t? l?nh. 
+ Nhà v? sinh khép kín ??y ?? nóng l?nh. Phòng có ?i?u hòa. 
 Nick này không ph?i tào lao ?âu. Hình con g?u bông là do ny t t?ng (cho ai th?c m?c :> )
Có ??ng chí nào có ý ??nh chuy?n tr? th?y ok thì liên h? t theo fb này trao ??i cho c? th?.",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Tr??ng mình ai g?n ???ng B??i ?am mê b? môn bóng chuy?n h?i qua sân ngõ 462 ???ng b??i 
Sân ?ang tuy?n thành viên ?
SInh ho?t t? 18h30 ??n 20h hàng ngày
C? nam n? ?",Neutral,,,,,,,,,,,,,,,,,,,,,,
Hp h?c l?i 1 tín trg mình là bn ? e h?c l?i r :(((,Neutral,,,,,,,,,,,,,,,,,,,,,,
A/c cho e h?i là s?p t?i thi a2 thì th?y cô coi thi có g?t k ? ? Bây gi? b?t ??u ôn thì có k?p k :((,Neutral,,,,,,,,,,,,,,,,,,,,,,
"C?n nh??ng l?i nhà nguyên c?n 4 t?ng ch? 6,5tr
?i?n n??c giá dân
??a ch? : 127 V?n Cao , m?t ch?y ra h? tây",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Tài kho?n chính ch? giá ch? b?ng ? bánh mì ??
Mình nh?n t?o tài kho?n chat GPT (Open AI bot) full tính n?ng (?ng d?ng ?? h?c IELTS, vi?t content marketing, k?ch b?n video, vi?t code, t?o hàm excel VBA, t?o hình ?nh b?ng text,....)
Tài kho?n OpenAI - ChatGPT chính ch? - Giá 20.000?/ v?nh vi?n ( làm xong m?i thanh toán ?)
??. ?ây là tài kho?n ChatGPT ??ng ký chính ch?
??. Ch? ??ng nh?p là dùng, t? do ??i m?t kh?u
??. Full ??y ?? ch?c n?ng
Ngoài ra còn h? tr? up tài kho?n GPT plus 490k",Neutral,,,,,,,,,,,,,,,,,,,,,,
Các em nh? ?? ý ??ng kí thi t? do A2 ??t này nhé. Ôn A2 c?p t?c ?? thi t? do c còn slot các em nhé. Các em ?ki thi t? do ib c,Neutral,,,,,,,,,,,,,,,,,,,,,,
em 2k5 cho em h?i ngành du l?ch tr??ng mình ?ã có bao nhiêu n?m r?i ? và tr??ng mình d?y du l?ch ?n ko,Neutral,,,,,,,,,,,,,,,,,,,,,,
"Hi các b?n, mình là ?? ?? ?? ?? ?? ??  ????????
Mình có nh?n support m?t s? môn h?c sau:
?? Toán cao c?p 1,2,3 (??i s? tuy?n tính, gi?i tích 1,2,3).
?? Ph??ng trình vi phân, sai phân.
?? Xác su?t th?ng kê, nguyên lý th?ng kê, th?ng kê cho kinh t? kinh doanh.
?? Toán cho nhà kinh t?.
?? Kinh t? vi mô và v? mô.
?? Hóa h?c ??i c??ng.
?? Hàm bi?n ph?c.
? ???????? ????????: Xem trên tin n?i b?t.",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Chuyên nh?n gi?i tích 1 2 3 và xác su?t th?ng kê , v?t lí , ??i s? tuy?n tính , ph??ng pháp tính , toán rr , ?i?n t? t??ng t? và s? vs qu?n tr? m?ng ,H? qu?n tr? CSDL, c?u trúc d? li?u và gi?i thu?t ,otomat , k? thu?t truy?n s? li?u ,Ch??ng trình d?ch, Nguyên lí h? ?i?u hành, Linux và ph?n m?m ngu?n m? , L?p trình h??ng ??i t??ng JAVA ,các môn v? Công ngh? ,…(Test ki?n th?c tho?i mái , không c?c )",Neutral,,,,,,,,,,,,,,,,,,,,,,
Vào chi?u nay th? 3 ngày 4/4 ca 4 ? 302A7 em có ?? quên m?t c? s?c iphone màu ?en kèm theo dây s?c màu tr?ng có ai nh?t ???c cho em xin liên h? c?m ?n ?,Neutral,,,,,,,,,,,,,,,,,,,,,,
"c?n 2 b?n ??ng bài cho bên mình l??ng 25k-30k/1h
không yêu c?u kinh nghi?m , không áp KPI",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Các b?n SV cho mình h?i, b? th?t l?c b?ng TN mu?n xin c?p l?i thì hi?n t?i tr??ng mình ?ã c?p l?i b?n sao b?ng t?t nghi?p ch?a hay v?n ch? c?p gi?y xác nh?n ?ã t?t nghi?p. Mình c?m ?n",Neutral,,,,,,,,,,,,,,,,,,,,,,
Gi? không bi?t có ch? nào mình ?i làm thêm ???c không ?ây,Neutral,,,,,,,,,,,,,,,,,,,,,,
"L?p Robot k62 c?n tìm ??i glvv không tcm 9h sáng ch? nh?t (9/4). 
L?p nào nh?n ib cho e ah??",Neutral,,,,,,,,,,,,,,,,,,,,,,
"B?n nào có lòng h?o tâm c?m m? mình m??n t?m thì tr? l?i g?i b?o v? nhé. Cái m? nó c?ng không ?áng giá bao nhiêu nh?ng con ng??i có ph?i con v?t ?âu mà ý th?c không b?ng con v?t v?y.
N?u m? r?i b?n nào có nh?t ???c mình có h?u t? ? ??",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Em c?m tìm ??i chi?u ch? nh?t 
16h - 9/4
Ch?a có sân ?
H?nh ki?m t?t ?",Neutral,,,,,,,,,,,,,,,,,,,,,,
"- Sáng nay th?ng b?n em: Huân Tr?n l?p KSTN ô tô K60 b? say cà phê ch? toà A4 ???????????????
- ?? ngh? “MÁY BÁN CÀ PHÊ” ?ang ? ?âu thì vào nh?n trách nhi?m và t? ki?m ?i?m l?i ?i ? ??????",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Bên ch? ?ang tuy?n 5 nhân viên parttime 25k/h + th??ng
Xoay ca linh ho?t theo l?ch r?nh ( ?u tiên 2k3,2k4)
Sáng:9h-12h
Chi?u: 14h30-18h30
T?i:18h30-21h30
KHÔNG YÊU C?U KINH NGHI?M
??a ch?: 248 Hoàng Ngân, C?u Gi?y (sau tr??ng ??i h?c Lao ??ng Xã H?i)",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Vâng...Mâ?y ba?n ho?c ?ê?n tri?nh ?ô? ?a?i ho?c rô?i ma? y? th??c ca?c ba?n c?? nh? con ruô?i â?y nh?=))
Co? ca?i mu? cu?ng pha?i nha?y cu?a nhau,ch??c mâ?t vài ch?c nghìn mua ca?i mu? l??m no? qua? s??c mâ?y ba?n hay sao ?y ??Co? câ?n mi?nh kêu go?i ca?i quy? ho?c sinh nghe?o v???t kho? UTC l??n lô?i bao xa ?i ho?c trong khi tiê?n mua ca?i mu? ba?o hiê?m cu?ng ko co?,ph?i hành x? nh? m?t ??a th?t h?c lang ch? ??u ???ng xó ch?.
Mong b?n nào l?y m? b?o hi?m c?a mình ?i ???ng b? ch?n th??ng s? não ???????",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Ôn thi Toeic ??i B1 16.4 khai gi?ng c còn slot các em nhé, các em l?a ch?n ôn Toeic ??i luôn B1 ib c t? v?n, c nh?n t? m?t g?c, CAM K?T ??U RA",Neutral,,,,,,,,,,,,,,,,,,,,,,
"*Góc tìm ??*
Sáng hôm qua (6/4) em h?c ca 2 ? phòng 601A2 có ?? quên 1 t?p gi?y trong ?ó có ?? án môn h?c em ?ang làm
ACE trong tr??ng có vô tình th?y thì liên h? cho em xin l?i v?i ?
S?t liên h?: 0918947812
Em xin c?m ?n và h?u t? ?",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Anh ch? ai có LAPTOP C?-H?NG-NÁT có nhu c?u c?n bán liên h? e nhé. E nh?n thu mua t?n nhà giá cao ?ây ?, ib zalo em s? 0964135316 ?",Neutral,,,,,,,,,,,,,,,,,,,,,,
?? T?ng s? l??ng theo dõi uy tín là m?t trong nh?ng ??u t? quan tr?ng cho tài kho?n c?a anh/ch?. Hãy liên h? v?i em ?? ???c t? v?n và ch? thanh toán sau khi gói d?ch v? ???c hoàn thành,Neutral,,,,,,,,,,,,,,,,,,,,,,
"??i nó b?c là v?y ??y
Nhân ti?n mình nh?n t?o tài kho?n chat gpt có phí ? 25k/1 tài kho?n nhé???? 
Ae ?ng h? e ki?m c?c cf ? toàn A2 ??",Neutral,,,,,,,,,,,,,,,,,,,,,,
"??UTC Radio 
     “ Chúc m?ng ngày qu?c t? Cu s? ?ây 6/4“
 Ni?m vui ngày qu?c t? ?àn ông, trong l?p toàn ?àn ông, thì b?n tôi t? t?o ni?m vui và n?i nh? cho nhau v?y. 
??i sinh viên ngành k? thu?t nó b?c v?y ??y ????
Ngu?n: Ph?m H?ng Phúc
#dhgiaothongvantai #UTCer",Neutral,,,,,,,,,,,,,,,,,,,,,,
Ac ai làm r?i chùm chìa khoá này thì ??n phòng 101 A5 ?? nh?n l?i ? ??,Neutral,,,,,,,,,,,,,,,,,,,,,,
"M?i ng??i có bài gi?ng môn T? ch?c v?n t?i du l?ch không ? cho mình xin v?i ???
Mình lên th? vi?n m??n mà h?t r?i??",Neutral,,,,,,,,,,,,,,,,,,,,,,
"??i em h?nh ki?m t?t , n?ng l?c bóng ?á trung bình , c?n tìm ??i t?i ngày mai ? ????",Neutral,,,,,,,,,,,,,,,,,,,,,,
Tr??ng mình có b?t hoàn thành A2 B1 ?úng th?i h?n trong kì h?c không m?i ng??i hay ch? c?n ra tr??ng có Toeic ??i là ???c ?,Neutral,,,,,,,,,,,,,,,,,,,,,,
n?u ch?a qua a2 thì ph?i hoàn thành tr??c khi ??nng kí ti?ng anh chuyên ngành ?ó.Không là có th? ra tr??ng mu?n vì ??ng kí TACN mu?n ??y,Neutral,,,,,,,,,,,,,,,,,,,,,,
"*Góc tìm ??*
Sáng hôm qua (6/4) em h?c ca 2 ? phòng 601A2 có ?? quên 1 t?p gi?y trong ?ó có ?? án môn h?c em ?ang làm
ACE trong tr??ng có vô tình th?y thì liên h? cho em xin l?i v?i ?
S?t liên h? : 0918947812
Em xin c?m ?n và h?u t? ?",Neutral,,,,,,,,,,,,,,,,,,,,,,
"không hi?u sao tr??ng ??y trai xinh gái ??p ??y thây mà còn ?i ""Qu?t Qu?t""",Neutral,,,,,,,,,,,,,,,,,,,,,,
"C?m ?n vì nh?ng bông hoa, chúng tôi t?ng b?n món quà??
 6/4 c?a các pé trai KTXD1 K61",Neutral,,,,,,,,,,,,,,,,,,,,,,
"ÔN THI TI?NG ANH A2:
Dear các em,
Tháng 12 và tháng 1 là th?i gian chu?n nh?t ?? ôn thi A2 ??t thi t? do ti?p theo, 
?? C g?i l?ch 2 l?p ôn A2 THÁNG 12 CAM K?T D?Y QUA MÔN 
?? L?p ôn A2 22/ 12  : 18h t?i CHU NH?T ngày 22/ 12 khai gi?ng, cu?i bu?i h?c c? l?p cùng x?p l?ch chính th?c 
?? L?p ôn A2 29/12 : 18h t?i CH? NH?T 
ngày 29/12 khai gi?ng, cu?i bu?i h?c c? l?p x?p l?ch chính th?c ??
?????? CAM K?T NH?N TRÁCH NHI?M D?Y QUA MÔN
?????? #Uy #Tín 5 n?m có l? trong l?nh v?c d?y ôn thi A1 A2 B1 cho sinh viên các tr??ng ?H. ??c bi?t là #SVGIAOTHONG
 ?????? Cách th?c ??ng kí h?c: Inbox tr?c ti?p cho c g?i thông tin ??ng kí, h?c phí ?i h?c ?óng tr?c ti?p cho qu?n lý
#KhongHoc Th?, ???c t?ng bu?i mi?n phí
?? h? th?ng tài li?u KHÔNG CÒN GÌ PH?I BÀN, ch? có sát ?? ho?c trùng ??, ko sát ko trùng v?n CAM K?t D?y ?? 4 k? n?ng trong ?? thi. H?c viên t? tin ?i thi luôn ko c?n h?c t?
 #JolieEC #OnA2 #Camketquamon",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Chúng ta c? mãi th?c khuya nh? th? này.
?ôi lúc là 1h, 2h và ??n sáng, k? c?ng k? l?, bi?t b?n thân r?t m?t nh?ng không th? nh?m m?t ng?. 
Là do ta còn b?n v?i nhi?u n?i lo quá: tình c?m, ti?n b?c, chuy?n ngày mai và chuy?n hôm nay. 
Nh?ng mà, ai c?ng quen r?i, ai r?i c?ng ph?i th? này thôi.
- - - - -  - - - - - -
?nh: Nguy?n V?n B?o 
ST",Neutral,,,,,,,,,,,,,,,,,,,,,,
"DI?N M?O M?I - PHONG CÁCH M?I
Hè t?i, c? s? 296-298 Nguy?n Trãi ?ã quay tr? l?i v?i di?n m?o m?i, mang ??n không gian mua s?m hi?n ??i và tr?i nghi?m mua s?m ti?n l?i h?n cho khách hàng r?i ?ây!
Hàng lo?t hot items ?ã ???c c?p nh?t t? áo phông, polo, s? mi, qu?n shorts, qu?n âu, qu?n jeans … 360® ?ã l?a ch?n các dòng ch?t li?u thoáng mát dành riêng cho mùa hè nh? cotton, bamboo, cafe, pique... nh?m ?em l?i c?m giác tho?i mái nh?t cho b?n.
Chào ?ón phong cách m?i cho mùa hè ??y n?ng ??ng, ghé 360® ngay!
------------------------
360® - BE YOURSELF
- Hotline: 1900 886 803 - 0973 285 886
- Website: https://360.com.vn/
OPEN DAILY: 8h30 - 22h00
M?i ý ki?n ?óng góp, ph?n h?i v? thái ?? ph?c v? và ch?t l??ng s?n ph?m xin liên h?: 0986 688 930.",Neutral,,,,,,,,,,,,,,,,,,,,,,
"[THÔNG BÁO T? CH?C H?I THAO SINH VIÊN KHOA CÔNG NGH? THÔNG TIN N?M 2023]
__________________________________
? H?i thao Sinh viên là ho?t ??ng th??ng niên c?a Khoa Công ngh? thông tin. N?m nay, ch??ng trình h?i thao ???c t? ch?c v?i 04 môn thi ??u bao g?m: Kéo co, c?u lông, c? vua, c? t??ng, thông tin c? th? nh? sau:
?? ??i t??ng d? thi: Sinh viên thu?c khoa CNTT và CNTTVA – Tr??ng ??i h?c Giao Thông V?n T?i
?? ??a ?i?m thi ??u:
??C?u lông: Sân c?u lông Tr??ng ??i h?c Giao Thông V?n T?i 
??Kéo co: Sân bóng chuy?n Tr??ng ??i h?c Giao Thông V?n T?i 
??C? vua + c? t??ng: Phòng 102A2 Tr??ng ??i h?c Giao Thông V?n T?i 
?? N?i dung: Kéo co, c?u lông, c? vua, c? t??ng
?? Th?i gian: t? 07h30 ??n 17h30 Ch? Nh?t ngày 02/04/2023 cho c? 4 b? môn kéo co, c?u lông, c? vua, c? t??ng
?? Quy ch?: Thí sinh thi ??u tuân th? theo b? lu?t c?a t?ng b? môn tham gia, chi ti?t s? ???c BTC g?i t?i các v?n ??ng viên thông qua ban cán s? l?p.
?? V?n ??ng viên c?n cam k?t nghe theo s? phân công, ch? ??o và quy?t ??nh c?a tr?ng tài. M?i hành phi ch?ng ??i, gian d?i, tiêu c?c ??u b? x? thua và t??c quy?n thi ??u.
?? ?a?y la? sa?n cho?i vo? cu?ng y? nghi?a. Ha?y cu?ng nhau ??ng ký và cha?o ?o?n h?i thao Sinh viên khoa CNTT nhé ??
?? Link ??ng ký c?u lông/ c? vua/ c? t??ng:
https://forms.gle/w4WX6hk6KMC8eqir9
?? ??ng ký kéo co: Thí sinh ??ng ký v?i l?p tr??ng c?a l?p mình
?? Th?i gian ??ng kí tham gia ??n h?t 23h59p ngày 26 tháng 03 n?m 2023
?? Gi?i th??ng vô cùng h?p d?n, ha?y ??ng ký tham gia ?? mang gi?i th??ng v? nào các b?n  
___________________________________
M?i th?c m?c xin vui lòng liên h? 
Email: bttkhoacnttutc@gmail.com
Fanpage: https://www.facebook.com/bantruyenthongITUTC
___________________________________
#BTT_CNTT
#CNTT_UTC",Neutral,,,,,,,,,,,,,,,,,,,,,,
UTC khi th?y gái xinhhh ?? tr??ng ít gái nó kh? th? ??y ,Neutral,,,,,,,,,,,,,,,,,,,,,,
Mình h?c ?h may m?n ko ?? r?t tín ch? nào c? ko ?? con f nào c? kkk,Neutral,,,,,,,,,,,,,,,,,,,,,,
kinh ?ô ánh sáng là ae h?c l?i bu?i t?i ?ó ae :)))),Neutral,,,,,,,,,,,,,,,,,,,,,,
Sinh viên ??i h?c Giao Thông V?n T?i mãi ??nh ??,Positive,,,,,,,,,,,,,,,,,,,,,,
"Cùng Tu?i Tr? ??n v?i tr??ng ?H Giao thông v?n t?i Hà N?i, ngôi tr??ng ??i h?c công l?p ?ào t?o chuyên ngành các lãnh v?c v? k? thu?t giao thông v?n t?i - kinh t? c?a Vi?t Nam, có phòng thí nghi?m LASXD-1256 tr? giá 15 t? ??ng.",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Ngày tr??c h?c th?y bình th??ng, lên clip th?y c?ng ??p ??y, Nhà A2 ch?c m?i l?p thang máy? Th? vi?n tr??c lên h?c có th?y ?ông th? này ?âu, trong clip th?y m?y em ?ông th? nh?",Negative,,,,,,,,,,,,,,,,,,,,,,
"?i?u hòa mát quá nên vào ?ó ng? ??y > <. Còn nguyên dàn máy tính thì t? tr??c n?m 2009, ch?y h?i rùa @@ t?o. M?i th? còn l?i oki h?t",Positive,,,,,,,,,,,,,,,,,,,,,,
Gtvt Hà N?i v?i gtvt phân hi?u hcm là m?t ?úng không ?,Neutral,,,,,,,,,,,,,,,,,,,,,,
Ch?p k? y?u t?i ??i h?c giao thông v?n t?i nên tranh th? review tr??ng luôn ^.^,Neutral,,,,,,,,,,,,,,,,,,,,,,
"Haizz m?i ng??i ?i, mình cõ l? ?ã th?c s? quên ???c r?i ?. C?m ?n m?i ng??i ?ã ??c cfs 1 c?a mình và chia s? nh?ng cách ?? d? dàng quên ???c cr, m?t b?n n? h?c logistics. Khá là thành công khi mình ?ã ch? ??ng không liên l?c v?i b?n ?y n?a, coi nh? ?ã không còn là gì c?a nhau m?t th?i gian. Trong lúc cách bi?t ?y, ch?c ch?n là v?n nh?, v?n mu?n nh?n tin l?m nh?ng mình ?ã t? ép bu?c mình ph?i nh?t d?n, không dài dòng, không icon, và không ch? ??ng nh?n tr??c. Nhi?u lúc ngh? th?y cay cay s?ng m?i, ta ?ã m?t ?i cr th?m chí còn m?t thêm m?t ng??i b?n, m?t m?i quan h? mà tr??c ?ây t?ng r?t vui v?...
Haiz c?ng ph?i ch?p nh?n thôi, h?c ?ã bi?t r?i mà không có c?m xúc gì thì ch?c ch?n ph?i ch? ??ng mà ?i và cho c? t??ng lai c?a  mình và b?n ?y n?a, h?m, ?áng mà nh??
*Th?c ra tui v?n s? ??i, có th? 1 vài n?m n?a, nh?ng s? im l?ng mà dõi theo thôi.*
M?t k?t c?c khá yên bình.
C?m ?n m?i ng??i ?ã ??c bài vi?t v? v?n c?a m?t th?ng si tình này:>",Neutral,,,,,,,,,,,,,,,,,,,,,,
L?p tr??ng l?p em g??ng m?u l?m,Neutral,,,,,,,,,,,,,,,,,,,,,,
"Có l? m?i ng??i th??ng ngh? l?p tr??ng và bí th? s? là nh?ng ng??i có trách nhi?m nh?t trong m?t l?p h?c nh?ng vi?c ?ó hoàn toàn không ?úng v?i l?p tr??ng l?p tôi. M?t ng??i l?p tr??ng nh?ng luôn tr?n tránh, ch?a t?ng tham gia b?t c? ho?t ??ng nào c?a l?p, luôn t? thái ?? th? ?, vô trách nhi?m, nh?ng khi có s?n ph?m thì l?i chê ?ng chê eo. M?i vi?c ??u do b?n bí th? và m?t s? b?n khác gánh vác. Nh?ng v?i m?t thái ?? vô cùng t?i và không x?ng ?áng v?i c??ng v? c?a m?t l?p tr??ng nh? v?y, nh?ng b?n l?p tr??ng l?i luôn ???c khen là m?t ng??i n?ng n?, ho?t bát, có trách nhi?m, có t? cách lãnh ??o và ph?i ph?i toàn b? công lao c?a b?n bí th? - ng??i ?áng ra ph?i ???c h??ng nh?ng th? ?ó (b?i vì b?n l?p tr??ng là m?t cocc). Là m?t ng??i ngoài cu?c nh?ng khi ch?ng ki?n nh?ng hành ??ng c?a b?n l?p tr??ng và nghe ???c nh?ng l?i khen không ?úng ng??i kia mình c?m th?y r?t b?t bình.
Mong r?ng b?n l?p tr??ng kia có th? thay ??i ?? danh x?ng v?i th?c.",Neutral,,,,,,,,,,,,,,,,,,,,,,
"B?n thân mình h?i tr??c là m?t con ng??i h??ng ngo?i, hay th? hi?n b?n thân và ???c nhi?u ng??i ng??ng m?. Nh?ng m?t bi?n c? x?y ra k? t? khi lên c?p 3, khi có nhi?u ng??i ng??ng m?, yêu thích thì khi mình gây ra m?t ?i?u gì ?ó làm h? th?t v?ng thì h? nói x?u m?i th? v? mình ( dù ?i?u ?ó không ?úng s? th?t ). K? t? ?ó mình s?ng khép l?i, không còn t? tin th? hi?n b?n thân. Cho dù làm vi?c gì c?ng ??u ""s?"", mu?n làm m?t cái gì ?ó nh?ng luôn ""s?"" m?i ng??i ?ánh giá, ( mình b?t ??u b? nh? v?y t? n?m l?p 10 ). Và nó kéo dài m?t kho?ng th?i gian dài, khi?n mình giao ti?p ngày càng kém, và b?n thân ngày càng t?. Hi?n t?i h?c n?m th? 3, mình v?n ch?a th? ""v??t rào"" kh?i b?c t??ng ?ó. V?n overthinking, v?n nh?y c?m, v?n ""s?"", ... Nhi?u m?i quan h? h?i tr??c mình thân h?i r?ng ""mày c?a tr??c kia ?âu r?i, tao nh? mày không h? nh? này c?, tao thích mày c?a tr??c kia h?n"". Mình c?ng mu?n tr? l?i nh? h?i tr??c ch?, nhi?u lúc ngh? v? b?n thân mình trong quá kh? mình th?y hoài ni?m,... Mình mu?n tr? l?i, mình mu?n thoát kh?i v? b?c, mình mu?n l?y l?i hào quang nh?ng... nh?ng suy ngh? tiêu c?c nó luôn chi?n th?ng nh?ng suy ngh? tích c?c. Dù nghe nhi?u l?i khuyên nh?ng mình v?n ch?a th? kh?c ph?c ???c, mình c?m th?y ghen t? v?i ng??i khác, c?m th?y cô ??n, tr?ng r?ng. Mình c?m th?y s? làm ???c n?u ? c?nh m?t ng??i nào ?ó giúp mình ph?n ch?n h?n nh?ng t? lâu mình ?ã m?t ni?m tin vào b?n...r?i",Negative,,,,,,,,,,,,,,,,,,,,,,
"N?u nh? m?i ngày ?i h?c ph?i g?p nh?ng con ng??i quá vô duyên nh?ng luôn ngh? mình hài h??c thì nên làm th? nào ??
Bodyshaming v?n không còn xa l? gì ??n chính b?n thân tôi c?ng không ng? nó dã man ??n ?? khi?n ng??i ta phát khùng. ??ng ý có th? thông c?m cho các b?n nam tu?i này còn b?ng b?t, thi?u suy ngh? nh?ng không có ngh?a ???c phép l?ng m?, chê bai ngo?i hình con gái chúng tôi. M?y ng??i có t?ng ngh? chúng tôi s? t?n th??ng nhi?u ??n th? nào khi ph?i ch?u ??ng nh?ng l?i l? xúc ph?m không th? ch?p nh?n ???c t? m?y ng??i? X?u xí nh?ng chúng tôi ?c ?n h?c ?àng hoàng, gia ?ình d?y d? t? t?, ??ng có nói ki?u nh? x?u xí là không ?áng ???c sinh ra trên ??i, không có giá tr? gì nh? v?y ?? Chúng tôi c?ng là báu v?t c?a b? m? chúng tôi ??y nhé ?? Làm ?n nói thì suy ngh? dùm, ??ng ?? m?m ?i ch?i xa.
?ôi l?i g?i ??n nh?ng b?n gái chung c?nh ng?.
Suy cho cùng ngo?i hình x?u không ph?i cái t?i, nh?ng ?ôi khi khi?n b?n thân ch?u t?n th??ng r?t nhi?u. Mong r?ng nh?ng ng??i b? cô l?p vì ngo?i hình có th? d?ng c?m ??n ??c b??c v? phía tr??c, có th? là khó h?n ng??i khác nh?ng không có ngh?a là không th? t? mình s?ng t?t. C? lên nh?ng ng??i b?n cùng chung ???ng ",Negative,,,,,,,,,,,,,,,,,,,,,,
"C?u có t?ng mu?n quay l?i v?i t? không?
C?u ??ng hi?u l?m, t? h?i th? không có ý quay l?i v?i c?u ?âu. T? ch? mu?n bi?t r?ng, trong nh?ng n?m tháng t? ?ang ph?i ch?t v?t v?i n?i nh? ?y, có m?t l?n nào c?u quay l?i nhìn t? không?
N?u ?? ???c ch?n l?i m?t l?n n?a, t? s? không g?p c?u.
Mình t?ng có m?t tình yêu mà ai ai c?ng ng??ng m?, m?t tình yêu bình d? nh? th?.T? nh? ngày ?y, m?i bài vi?t t? post lên là có hàng ch?c l??t share v?i bi?t bao cmt t? v? ghen t?. ?y v?y mà gi? ?ây, chính t? l?i ?em lòng ghen t? tình yêu c?a ng??i khác.
Mình xa nhau vào m?t ngày tr? giông, ??n gi?n và chóng vánh nh? cách mùa ?ông v? sau c?n gió mùa. ??t ng?t và b?t ng? ??n nh? th?. B?t ng? ??n m?c t? còn ch?a k?p hi?u lí do là gì thì c?u ?ã không còn là c?a t? n?a. T?i sao v?y nh?? T?i sao mình l?i xa nhau? T?i sao mình ph?i xa nhau vào cái mùa mà ng??i ta ?ang “ôm ?p nhau, qu?n quýt nhau” nh? th?, h? c?u?
T? không còn nh? c?u n?a, th?t ??y. Ch? là hôm nay t? th?y r?t nhi?u, r?t nhi?u nh?ng c?p ?ôi c?ng yêu nhau nh? t?i mình h?i ?ó, ch? ti?c là h? v?n còn n?m tay nhau, còn tay chúng mình thì ?ã buông ra t? lúc nào r?i. Có l? là t? ti?c. Mà c?ng không h?n.
T? ?ã không còn là t? c?a ngày ?ó n?a, c?u c?ng không còn là c?u con trai m??i m?y tu?i vô t? h?n nhiên không lo ngh? s? ??i n?a r?i. Chúng mình ?ã khác ?i, khác r?t nhi?u. C? câu chuy?n này và con ???ng chúng ta ?ang b??c.
Chúc c?u bây gi? cho ??n t?n mãi v? sau, th?t vui v?, th?t bình yên.",Neutral,,,,,,,,,,,,,,,,,,,,,,
Trai utc vi?t v?n hay ph?t =)),Positive,,,,,,,,,,,,,,,,,,,,,,
"S?n sàng h?c l?i ch?a nào các emm
N?u ch?a thì ib h?c kèm ngay nhé
??m b?o qua môn ?
GT: Mình s? h??ng d?n Casio. Thêm ?ó là 1 s? ph?n c? b?n cho anh ch? em nhé
?STT: N?m ch?c trình bày,r?t môn tr? ti?n l?i cho a ch? em luôn ?.",Neutral,,,,,,,,,,,,,,,,,,,,,,
"H?c ? Giao Thông V?n T?i ?ã lâu, nh?ng li?u b?n có bi?t vì sao tr??ng ???c m?nh danh là ""kinh ?ô ánh sáng"" không",Neutral,,,,,,,,,,,,,,,,,,,,,,
"G?i m?y anh ? khu v?c ?ang xây tòa nhà m?i. Chi?u nay em có vi?c ?i qua ???ng ?ó m?y l?n, xong có m?y anh nói “ em ?i anh có v? r?i, em có chê ko”. Em ki?u ???? M?y th?ng cha này b? ?iên à. Vô duyên m?t v?a hai ph?i thôi ?.",Negative,,,,,,,,,,,,,,,,,,,,,,
th ??ng lôi tên t n?a m ko chê thì ns ?i c? lôi tên b?n bè ra làm lá ch?n hèn vl,Negative,,,,,,,,,,,,,,,,,,,,,,
